"Time delay
1 62.4309
1.5 71.7102
2 87.4206
2.5 52.8616
3 43.4379
3.5 51.5826
4 46.9438
4.5 57.5453
5 54.2399
5.5 62.6613
6 48.0419
6.5 52.7053
7 56.7717
7.5 54.2083
8 59.8561
8.5 50.1098
9 59.0684
9.5 52.926
10 49.4193
10.5 63.0275
11 56.8453
11.5 53.4682
12 65.6897
12.5 54.2246
13 52.1865
13.5 48.4687
14 45.6994
14.5 71.5106
15 66.9172
15.5 42.7651
16 58.0066
16.5 55.209
17 48.35
17.5 63.5201
18 51.3289
18.5 58.641
19 52.3219
19.5 63.0224
20 62.9215
20.5 50.9456
21 55.8068
21.5 47.5922
22 54.8107
22.5 61.4643
23 54.6749
23.5 54.3342
24 49.8988
24.5 48.6457
25 59.4323
25.5 52.9166
26 64.3703
26.5 60.7123
27 48.2411
27.5 65.3587
28 54.1473
28.5 43.3092
29 62.2157
29.5 68.1518
30 48.4765
30.5 64.6259
31 61.1247
31.5 51.611
32 55.1154
32.5 55.5116
33 47.554
33.5 52.04
34 62.2255
34.5 56.6817
35 59.7843
35.5 55.2993
36 64.6261
36.5 46.6711
37 55.9339
37.5 53.8532
38 59.121
38.5 57.6025
39 52.428
39.5 53.7462
40 55.8154
40.5 50.0042
41 48.942
41.5 64.1244
42 56.8572
42.5 63.1666
43 47.2815
43.5 63.0767
44 61.3604
44.5 56.4081
45 55.9655
45.5 57.864
46 61.9044
46.5 49.5188
47 59.1544
47.5 50.2923
48 59.6962
48.5 65.0757
49 46.3844
49.5 60.2949
