"Through put
0 0
0.5 0
1 126
1.5 164
2 180
2.5 176
3 178
3.5 176
4 178
4.5 180
5 180
5.5 180
6 170
6.5 174
7 178
7.5 176
8 176
8.5 180
9 166
9.5 180
10 180
10.5 180
11 172
11.5 176
12 180
12.5 174
13 176
13.5 180
14 168
14.5 180
15 180
15.5 164
16 170
16.5 180
17 172
17.5 182
18 170
18.5 180
19 176
19.5 180
20 180
20.5 172
21 180
21.5 168
22 174
22.5 180
23 168
23.5 180
24 174
24.5 174
25 180
25.5 176
26 178
26.5 180
27 174
27.5 180
28 176
28.5 168
29 180
29.5 180
30 168
30.5 180
31 180
31.5 172
32 174
32.5 180
33 176
33.5 172
34 180
34.5 176
35 178
35.5 180
36 178
36.5 170
37 180
37.5 172
38 174
38.5 182
39 172
39.5 176
40 180
40.5 176
41 176
41.5 180
42 178
42.5 180
43 166
43.5 180
44 180
44.5 174
45 174
45.5 180
46 168
46.5 180
47 168
47.5 180
48 180
48.5 180
49 160
49.5 180
